store_id,item_id,wm_yr_wk,sell_price
CA_1,HOBBIES_1_001,11325,9.58
CA_1,HOBBIES_1_001,11326,9.58
CA_1,HOBBIES_1_001,11327,8.26
CA_1,HOBBIES_1_001,11328,8.26
CA_1,HOBBIES_1_001,11329,8.26
CA_1,HOBBIES_1_001,11330,8.26
CA_1,HOBBIES_1_001,11331,8.26
CA_1,HOBBIES_1_001,11332,8.26
CA_1,HOBBIES_1_001,11333,8.26
CA_1,HOBBIES_1_001,11334,8.26
CA_1,HOBBIES_1_001,11335,8.26
CA_1,HOBBIES_1_001,11336,8.26
CA_1,HOBBIES_1_001,11337,8.26
CA_1,HOBBIES_1_001,11338,8.26
CA_1,HOBBIES_1_001,11339,8.26
CA_1,HOBBIES_1_001,11340,8.26
CA_1,HOBBIES_1_001,11341,8.26
CA_1,HOBBIES_1_001,11342,8.26
CA_1,HOBBIES_1_001,11343,8.26
CA_1,HOBBIES_1_001,11344,8.26